time,ch1,ch2,ch3,button
872.0,1.69,3.3,0.7,0
874.0,1.65,3.3,0.69,0
876.0,1.35,3.3,0.8,0
878.0,1.48,3.3,1.13,0
880.0,1.6,3.3,1.5,0
882.0,1.57,3.3,1.84,0
884.0,1.62,3.3,2.03,0
886.0,1.64,3.3,2.35,0
888.0,1.69,3.3,2.64,0
890.0,1.74,3.3,3.09,0
892.0,1.46,3.3,3.07,0
894.0,1.39,3.3,3.26,0
897.0,1.62,3.3,3.3,0
899.0,1.6,3.3,3.3,0
901.0,1.5,3.3,3.3,0
902.0,1.55,3.3,3.3,0
904.0,1.63,3.3,3.3,0
906.0,1.63,3.3,3.29,0
908.0,1.68,3.3,3.09,0
910.0,1.49,3.3,2.79,0
912.0,1.43,3.3,2.73,0
914.0,1.45,3.3,2.63,0
916.0,1.57,3.3,2.47,0
918.0,1.67,3.3,2.62,0
920.0,1.65,3.3,2.71,0
922.0,1.76,3.3,2.46,0
924.0,1.47,3.3,2.16,0
926.0,1.45,3.3,2.02,0
928.0,1.47,3.21,1.85,0
930.0,1.64,3.01,1.68,0
932.0,1.54,3.02,1.59,0
934.0,1.1,2.83,1.64,0
936.0,1.35,2.29,1.61,0
939.0,1.49,1.61,1.43,0
941.0,1.48,1.45,1.5,0
943.0,1.47,1.53,1.31,0
945.0,1.48,0.99,1.15,0
947.0,1.49,0.99,1.17,0
949.0,1.39,0.88,1.3,0
950.0,1.37,0.33,1.37,0
952.0,1.5,0.38,1.25,0
954.0,1.45,0.67,1.19,0
956.0,1.51,1.14,1.31,0
958.0,1.54,1.2,1.53,0
960.0,1.56,1.13,1.43,0
962.0,1.35,0.47,1.43,0
964.0,1.39,0.0,1.66,0
966.0,1.43,0.0,1.61,0
968.0,1.44,0.0,1.63,0
970.0,1.43,0.0,1.46,0
972.0,1.39,0.0,1.18,0
974.0,1.27,0.0,1.24,0
976.0,1.29,0.0,1.34,0
978.0,1.23,0.0,1.44,0
980.0,1.45,0.0,1.44,0
983.0,1.5,0.0,1.44,0
985.0,1.45,0.01,1.22,0
987.0,1.38,0.0,1.14,0
989.0,1.34,0.0,1.18,0
991.0,1.42,0.06,1.2,0
993.0,1.43,0.0,1.09,0
994.0,1.35,0.0,0.98,0
996.0,1.32,0.0,0.92,0
998.0,1.33,0.0,0.88,0
1000.0,1.27,0.0,0.69,0
1002.0,1.09,0.0,0.64,0
1004.0,1.31,0.0,0.58,0
1006.0,1.3,0.0,0.43,0
1008.0,0.94,0.0,0.32,0
1010.0,1.1,0.0,0.35,0
1012.0,1.32,0.0,0.21,0
1014.0,1.4,0.0,0.26,0
1016.0,1.34,0.0,0.48,0
1018.0,1.31,0.0,0.54,0
1020.0,1.32,0.0,0.51,0
1022.0,1.32,0.0,0.44,0
1025.0,1.24,0.0,0.41,0
1027.0,1.21,0.0,0.44,0
1029.0,1.42,0.0,0.51,0
1031.0,1.38,0.0,0.68,0
1033.0,1.42,0.0,0.71,0
1035.0,1.18,0.0,0.8,0
1036.0,1.28,0.0,0.92,0
1038.0,1.35,0.0,0.9,0
1040.0,1.25,0.0,0.87,0
1042.0,1.3,0.0,1.04,0
1044.0,1.19,0.28,1.16,0
1046.0,1.33,0.92,1.1,0
1048.0,1.28,0.72,1.28,0
1050.0,1.27,0.8,1.41,0
1052.0,1.17,0.81,1.5,0
1054.0,1.1,0.81,1.47,0
1056.0,1.16,0.9,1.3,0
1058.0,1.42,0.97,1.54,0
1060.0,1.31,0.66,1.67,0
1062.0,1.21,0.0,1.95,0
1064.0,1.31,0.0,2.05,0
1067.0,1.25,0.0,2.15,0
1069.0,1.26,0.0,2.26,0
1071.0,1.29,0.0,2.38,0
1073.0,1.29,0.0,2.44,0
1075.0,1.22,0.0,2.65,0
1077.0,1.28,0.0,2.87,0
1078.0,1.45,0.0,2.85,0
1080.0,1.51,0.0,2.75,0
1082.0,1.35,0.0,2.48,0
1084.0,1.16,0.0,2.46,0
1086.0,1.15,0.0,2.34,0
1088.0,1.21,0.0,2.17,0
1090.0,1.33,0.0,2.05,0
1092.0,1.47,0.0,1.8,0
1094.0,1.53,0.0,1.82,0
1096.0,1.46,0.0,2.1,0
1098.0,1.45,0.0,2.29,0
1100.0,1.45,0.0,2.11,0
1102.0,1.43,0.0,2.03,0
1104.0,1.45,0.0,1.86,0
1106.0,1.48,0.0,1.84,0
1108.0,1.5,0.0,1.87,0
1111.0,1.52,0.0,1.98,0
1113.0,1.57,0.0,1.95,0
1115.0,1.75,0.0,1.95,0
1117.0,1.52,0.0,2.02,0
1119.0,1.06,0.0,2.0,0
1121.0,1.35,0.0,2.06,0
1122.0,1.47,0.0,2.19,0
1124.0,1.45,0.0,2.23,0
1126.0,1.46,0.0,2.33,0
1128.0,1.72,0.0,2.45,0
1130.0,1.71,0.0,2.7,0
1132.0,1.7,0.0,2.69,0
1134.0,1.73,0.0,2.82,0
1136.0,1.69,0.0,2.74,0
1138.0,1.6,0.0,2.65,0
1140.0,1.63,0.0,2.61,0
1142.0,1.64,0.0,2.65,0
1144.0,1.64,0.0,2.58,0
1146.0,1.65,0.0,2.51,0
1148.0,1.72,0.0,2.48,0
1150.0,1.5,0.0,2.55,0
1153.0,1.48,0.0,2.39,0
1155.0,1.6,0.0,2.34,0
1157.0,1.71,0.0,2.39,0
1159.0,1.68,0.0,2.44,0
1161.0,1.72,0.0,2.49,0
1163.0,1.81,0.0,2.51,0
1164.0,1.68,0.0,2.44,0
1166.0,1.6,0.0,2.22,0
1168.0,1.67,0.0,2.12,0
1170.0,1.68,0.0,1.95,0
1172.0,1.55,0.0,1.9,0
1174.0,1.54,0.0,1.87,0
1176.0,1.65,0.0,1.84,0
1178.0,1.54,0.0,1.72,0
1180.0,1.5,0.0,1.8,0
1182.0,1.73,0.0,1.81,0
1184.0,1.69,0.0,1.73,0
1186.0,1.65,0.0,1.78,0
1188.0,1.62,0.0,1.61,0
1190.0,1.6,0.0,1.58,0
1192.0,1.57,0.0,1.57,0
1195.0,1.61,0.0,1.64,0
