time,ch1,ch2,ch3,button
924.0,0.35,2.57,3.28,0
926.0,0.31,2.56,3.28,0
928.0,0.32,2.55,3.28,0
930.0,0.38,2.51,3.28,0
932.0,0.34,2.46,3.27,0
934.0,0.3,2.42,3.27,0
936.0,0.28,2.38,3.27,0
939.0,0.21,2.36,3.27,0
941.0,0.21,2.37,3.27,0
943.0,0.22,2.38,3.27,0
945.0,0.28,2.39,3.27,0
947.0,0.34,2.38,3.27,0
949.0,0.33,2.36,3.27,0
951.0,0.41,2.32,3.27,0
953.0,0.47,2.27,3.27,0
955.0,0.5,2.23,3.27,0
957.0,0.45,2.19,3.27,0
958.0,0.47,2.18,3.26,0
960.0,0.54,2.18,3.26,0
962.0,0.63,2.19,3.26,0
964.0,0.61,2.2,3.26,0
966.0,0.6,2.2,3.27,0
968.0,0.57,2.18,3.26,0
970.0,0.55,2.14,3.26,0
972.0,0.75,2.1,3.26,0
974.0,0.76,2.06,3.26,0
976.0,0.66,2.03,3.26,0
978.0,0.66,2.02,3.26,0
980.0,0.65,3.3,3.3,0
983.0,0.63,3.3,3.3,0
985.0,0.68,2.5,3.27,0
987.0,0.87,0.77,3.23,0
989.0,1.06,0.62,3.23,0
991.0,1.19,0.68,3.23,0
993.0,1.29,0.75,3.23,0
995.0,1.38,0.82,3.23,0
997.0,1.42,0.89,3.24,0
999.0,1.43,1.06,3.25,0
1001.0,1.55,3.3,3.3,0
1002.0,1.71,3.3,3.3,0
1004.0,1.89,2.34,3.26,0
1006.0,2.07,0.0,3.22,0
1008.0,2.29,0.0,3.22,0
1010.0,2.77,0.0,3.22,0
1012.0,2.68,0.0,3.21,0
1014.0,2.64,0.0,3.22,0
1016.0,2.67,0.0,3.21,0
1018.0,2.64,3.3,3.3,0
1020.0,2.68,3.3,3.3,0
1022.0,2.75,3.3,3.3,0
1025.0,2.84,3.3,3.3,0
1027.0,2.92,0.0,3.22,0
1029.0,2.9,0.0,3.22,0
1031.0,2.94,0.0,3.22,0
1033.0,2.95,0.0,3.22,0
1035.0,2.81,0.0,3.22,0
1037.0,2.85,0.0,3.22,0
1039.0,3.06,1.85,3.3,0
1041.0,3.11,3.3,3.3,0
1043.0,3.06,3.3,3.3,0
1044.0,3.0,3.3,3.3,0
1046.0,3.03,0.0,3.21,0
1048.0,3.12,0.0,3.22,0
1050.0,3.05,0.0,3.22,0
1052.0,2.81,0.0,3.22,0
1054.0,2.56,0.0,3.22,0
1056.0,2.56,0.0,3.22,0
1058.0,2.72,0.0,3.22,0
1060.0,2.9,0.0,3.22,0
1062.0,3.3,0.0,3.22,0
1064.0,3.3,0.0,3.22,0
1067.0,3.3,0.0,3.22,0
1069.0,3.3,0.0,3.22,0
1071.0,3.3,0.0,3.22,0
1073.0,3.3,0.0,3.22,0
1075.0,3.3,0.0,3.22,0
1077.0,3.3,0.0,3.22,0
1079.0,3.3,0.0,3.22,0
1081.0,3.3,0.0,3.22,0
1083.0,3.3,0.0,3.22,0
1085.0,3.3,0.0,3.22,0
1086.0,3.3,0.0,3.22,0
1088.0,3.3,0.14,3.22,0
1090.0,3.3,0.29,3.23,0
1092.0,3.3,0.44,3.23,0
1094.0,3.3,0.57,3.23,0
1096.0,3.3,0.7,3.23,0
1098.0,3.3,0.84,3.24,0
1100.0,3.3,0.99,3.24,0
1102.0,3.3,1.13,3.25,0
1104.0,3.3,1.27,3.25,0
1106.0,3.3,1.38,3.25,0
1108.0,3.3,1.48,3.25,0
1111.0,3.11,1.54,3.25,0
1113.0,2.95,1.6,3.25,0
1115.0,2.68,1.64,3.25,0
1117.0,2.39,1.7,3.25,0
1119.0,1.97,1.76,3.25,0
1121.0,2.09,1.84,3.26,0
1123.0,2.51,1.92,3.26,0
1125.0,2.56,2.0,3.26,0
1127.0,2.71,2.07,3.26,0
1129.0,2.83,2.12,3.27,0
1130.0,2.61,2.15,3.26,0
1132.0,2.38,2.18,3.26,0
1134.0,2.26,2.2,3.26,0
1136.0,1.93,2.24,3.27,0
1138.0,1.67,2.29,3.27,0
1140.0,1.45,2.35,3.27,0
1142.0,1.44,2.42,3.27,0
1144.0,1.43,2.47,3.27,0
1146.0,1.36,2.52,3.27,0
1148.0,1.41,2.55,3.11,0
1150.0,1.24,2.56,2.77,0
1153.0,1.25,2.56,2.35,0
1155.0,1.41,2.56,2.01,0
1157.0,1.35,2.57,1.61,0
1159.0,1.32,2.59,1.29,0
1161.0,1.34,2.62,1.09,0
1163.0,1.38,2.66,0.85,0
1165.0,1.36,2.7,0.53,0
1167.0,1.45,2.73,0.36,0
1169.0,1.43,2.74,0.25,0
1171.0,1.26,2.74,0.08,0
1172.0,1.08,2.72,0.06,0
1174.0,1.06,2.7,0.06,0
1176.0,0.72,2.69,0.06,0
1178.0,0.47,2.7,0.06,0
1180.0,0.15,2.71,0.07,0
1182.0,0.18,2.73,0.06,0
1184.0,0.25,2.74,0.06,0
1186.0,0.21,2.74,0.05,0
1188.0,0.37,2.74,0.06,0
1190.0,0.32,2.72,0.06,0
1192.0,0.13,2.69,0.06,0
1195.0,0.0,2.67,0.06,0
1197.0,0.0,2.65,0.06,0
1199.0,0.0,2.65,0.06,0
1201.0,0.0,2.67,0.06,0
1203.0,0.0,2.68,0.06,0
1205.0,0.0,2.7,0.06,0
1207.0,0.0,2.7,0.06,0
1209.0,0.0,2.7,0.06,0
1211.0,0.0,2.68,0.06,0
1213.0,0.0,2.65,0.06,0
1214.0,0.0,2.63,0.06,0
1216.0,0.0,2.61,0.06,0
1218.0,0.0,2.6,0.06,0
1220.0,0.0,2.6,0.05,0
1222.0,0.0,2.61,0.05,0
1224.0,0.0,2.61,0.06,0
1226.0,0.0,2.61,0.06,0
1228.0,0.0,2.6,0.05,0
1230.0,0.0,2.57,0.05,0
1232.0,0.0,2.55,0.06,0
1234.0,0.0,2.52,0.05,0
1236.0,0.0,2.5,0.05,0
1239.0,0.0,2.5,0.06,0
1241.0,0.0,2.5,0.05,0
1243.0,0.0,2.51,0.05,0
1245.0,0.0,2.51,0.05,0
1247.0,0.0,2.51,0.05,0
1249.0,0.0,2.5,0.05,0
1251.0,0.0,2.48,0.05,0
1253.0,0.0,2.45,0.05,0
1255.0,0.0,2.42,0.05,0
1257.0,0.0,2.4,0.05,0
1258.0,0.0,2.39,0.05,0
1260.0,0.0,2.39,0.05,0
1262.0,0.0,2.39,0.05,0
1264.0,0.0,2.39,0.05,0
1266.0,0.0,2.38,0.05,0
1268.0,0.0,2.37,0.05,0
1270.0,0.0,2.34,0.05,0
1272.0,0.0,2.31,0.05,0
1274.0,0.0,2.28,0.05,0
1276.0,0.0,2.26,0.05,0
1278.0,0.0,2.25,0.05,0
1281.0,0.0,2.25,0.05,0
1283.0,0.0,2.26,0.05,0
1285.0,0.0,2.26,0.05,0
1287.0,0.0,2.26,0.05,0
1289.0,0.0,2.25,0.05,0
1291.0,0.0,2.23,0.05,0
1293.0,0.0,2.2,0.05,0
1295.0,0.0,2.17,0.05,0
1297.0,0.0,2.15,0.05,0
1299.0,0.0,2.14,0.05,0
1300.0,0.01,2.15,0.05,0
1302.0,0.27,2.15,0.05,0
1304.0,0.83,2.15,0.06,0
1306.0,1.27,2.15,0.05,0
1308.0,1.63,2.14,0.05,0
1310.0,1.86,2.11,0.04,0
1312.0,1.8,2.08,0.05,0
1314.0,1.83,2.05,0.04,0
1316.0,2.16,2.03,0.04,0
1318.0,2.2,2.01,0.04,0
1320.0,2.31,2.01,0.04,0
1323.0,2.49,2.0,0.04,0
1325.0,2.5,2.0,0.04,0
1327.0,2.43,1.99,0.04,0
1329.0,2.35,1.97,0.04,0
1331.0,2.33,1.95,0.04,0
1333.0,2.4,1.92,0.04,0
1335.0,2.34,1.88,0.05,0
1337.0,1.94,1.86,0.09,0
1339.0,2.62,1.85,0.13,0
1341.0,2.39,1.85,0.15,0
1342.0,2.85,1.85,0.17,0
1344.0,2.73,1.86,0.16,0
1346.0,2.74,1.85,0.16,0
1348.0,2.73,1.84,0.18,0
1350.0,2.58,1.82,0.26,0
1352.0,1.77,1.79,0.36,0
1354.0,1.35,1.77,0.46,0
1356.0,0.8,1.76,0.51,0
1358.0,0.51,1.76,0.53,0
1360.0,0.59,1.77,0.56,0
1362.0,0.82,1.78,0.55,0
1364.0,1.48,1.79,0.52,0
1367.0,2.19,1.8,0.51,0
1369.0,1.99,1.8,0.5,0
1371.0,1.66,1.78,0.56,0
1373.0,1.31,1.77,0.62,0
1375.0,1.82,1.75,0.65,0
1377.0,2.58,1.74,0.61,0
1379.0,2.62,1.74,0.6,0
1381.0,2.92,1.75,0.55,0
