time,ch1,ch2
1904.15,1.36,0.83
1906.15,1.42,0.77
1908.15,1.51,0.78
1910.15,1.56,0.78
1912.15,1.66,0.82
1914.15,1.67,0.71
1916.15,1.76,0.83
1919.15,1.79,0.97
1921.15,1.93,1.18
1923.15,1.91,1.13
1925.15,1.75,0.98
1927.15,1.79,1.06
1929.15,1.82,1.2
1931.15,1.86,1.32
1933.15,1.91,1.49
1935.15,1.89,1.38
1937.15,1.86,1.32
1938.15,1.8,1.18
1940.15,1.81,1.09
1942.15,1.79,0.96
1944.15,1.65,0.9
1946.15,1.65,0.97
1948.15,1.67,1.21
1950.15,1.69,1.24
1952.15,1.78,1.32
1954.15,1.77,1.12
1956.15,1.76,1.11
1958.15,1.75,1.18
1960.15,1.71,1.1
1963.15,1.65,1.02
1965.15,1.55,0.93
1967.15,1.59,1.01
1969.15,1.66,1.17
1971.15,1.68,1.27
1973.15,1.71,1.34
1975.15,1.72,1.19
1977.15,1.74,1.1
1979.15,1.68,0.96
1981.15,1.57,0.96
1982.15,1.5,1.06
1984.15,1.44,1.03
1986.15,1.48,1.0
1988.15,1.52,1.05
1990.15,1.64,1.05
1992.15,1.77,1.07
1994.15,1.77,1.02
1996.15,1.76,0.97
1998.15,1.71,0.89
2000.15,1.64,0.84
2002.15,1.58,0.85
2005.15,1.48,0.89
2007.15,1.5,1.03
2009.15,1.55,1.15
2011.15,1.56,1.11
2013.15,1.6,1.11
2015.15,1.58,0.96
2017.15,1.58,0.85
2019.15,1.61,1.01
2021.15,1.56,1.27
2023.15,1.49,1.38
2025.15,1.37,1.51
2026.15,1.37,1.64
2028.15,1.37,1.66
2030.15,1.4,1.56
2032.15,1.5,1.47
2034.15,1.5,1.27
2036.15,1.54,1.27
2038.15,1.49,1.24
2040.15,1.43,1.22
2042.15,1.38,1.04
2044.15,1.21,0.94
2047.15,1.19,0.89
2049.15,1.19,0.7
2051.15,1.28,0.46
2053.15,1.44,0.53
2055.15,1.44,0.53
2057.15,1.5,0.64
2059.15,1.47,0.73
2061.15,1.42,0.8
2063.15,1.33,0.75
2065.15,1.18,0.52
2067.15,1.19,0.55
2068.15,1.22,0.79
2070.15,1.33,1.01
2072.15,1.41,0.98
2074.15,1.37,0.93
2076.15,1.35,1.04
2078.15,1.38,1.22
2080.15,1.35,1.46
2082.15,1.29,1.63
2084.15,1.21,1.74
2086.15,1.21,1.95
2088.15,1.25,2.15
2091.15,1.36,2.32
2093.15,1.44,2.38
2095.15,1.42,2.35
2097.15,1.46,2.54
2099.15,1.38,2.61
2101.15,1.32,2.64
2103.15,1.27,2.66
2105.15,1.21,2.75
2107.15,1.24,2.81
2109.15,1.29,2.74
2110.15,1.35,2.69
2112.15,1.38,2.74
2114.15,1.35,2.65
2116.15,1.36,2.57
2118.15,1.36,2.42
2120.15,1.38,2.36
2122.15,1.37,2.36
2124.15,1.25,2.32
2126.15,1.25,2.54
2128.15,1.31,2.57
2130.15,1.38,2.5
2133.15,1.47,2.52
2135.15,1.45,2.47
2137.15,1.5,2.47
2139.15,1.5,2.43
2141.15,1.46,2.34
2143.15,1.43,2.3
2145.15,1.33,2.32
2147.15,1.31,2.37
2149.15,1.37,2.43
2151.15,1.4,2.38
2153.15,1.45,2.36
2154.15,1.44,2.28
2156.15,1.48,2.35
2158.15,1.42,2.36
2160.15,1.44,2.38
2162.15,1.41,2.33
2164.15,1.32,2.16
2166.15,1.31,2.02
2168.15,1.38,2.09
2170.15,1.46,2.09
2172.15,1.5,2.09
2175.15,1.44,1.87
2177.15,1.47,1.85
2179.15,1.46,1.79
2181.15,1.43,1.81
2183.15,1.39,1.76
2185.15,1.32,1.67
2187.15,1.36,1.72
2189.15,1.41,1.78
2191.15,1.48,1.68
2193.15,1.53,1.59
2195.15,1.48,1.46
2197.15,1.5,1.47
2198.15,1.51,1.42
2200.15,1.47,1.45
2202.15,1.38,1.41
2204.15,1.29,1.33
2206.15,1.35,1.39
2208.15,1.4,1.39
2210.15,1.43,1.4
2212.15,1.47,1.36
2214.15,1.46,1.3
2216.15,1.47,1.43
2219.15,1.44,1.43
2221.15,1.43,1.49
