time,ch1,ch2
1491.0,0.0,0.0
1493.0,0.0,0.0
1495.0,0.0,0.0
1497.0,0.0,0.0
1499.0,0.0,0.0
1500.0,0.0,0.0
1502.0,0.0,0.0
1504.0,0.0,0.0
1506.0,0.0,0.0
1508.0,0.0,0.0
1510.0,0.17,0.0
1512.0,0.19,0.0
1514.0,0.13,0.0
1516.0,0.11,2.18
1518.0,0.08,3.3
1520.0,0.2,3.3
1522.0,0.18,3.3
1524.0,0.14,3.3
1527.0,0.12,3.3
1529.0,0.23,3.3
1531.0,0.2,3.3
1533.0,0.37,3.3
1535.0,0.26,3.3
1537.0,0.2,3.3
1539.0,0.23,3.3
1541.0,0.37,3.3
1542.0,0.54,2.83
1544.0,0.77,1.85
1546.0,0.9,1.03
1548.0,1.02,0.0
1550.0,1.03,0.0
1552.0,0.97,0.0
1554.0,0.83,0.0
1556.0,0.84,0.0
1558.0,0.98,0.0
1560.0,1.08,0.0
1562.0,1.19,0.0
1564.0,1.3,0.0
1566.0,1.35,0.0
1568.0,1.37,0.0
1571.0,1.45,0.0
1573.0,1.54,0.0
1575.0,1.59,0.0
1577.0,1.57,0.0
1579.0,1.73,0.0
1581.0,2.08,0.0
1583.0,2.22,0.0
1585.0,2.32,0.0
1586.0,2.37,0.0
1588.0,2.32,0.0
1590.0,2.3,0.13
1592.0,2.28,0.3
1594.0,2.19,0.47
1596.0,2.19,0.63
1598.0,2.23,0.78
1600.0,2.27,0.9
1602.0,2.36,1.01
1604.0,2.45,1.1
1606.0,2.57,1.2
1608.0,2.53,1.29
1610.0,2.44,1.39
1613.0,2.34,1.47
1615.0,2.18,1.55
1617.0,2.11,1.63
1619.0,2.15,1.7
1621.0,2.24,1.75
1623.0,2.49,1.79
1625.0,2.64,1.82
1627.0,2.78,1.86
1628.0,2.78,1.9
1630.0,2.75,1.94
1632.0,2.65,1.98
1634.0,2.55,2.02
1636.0,2.43,2.05
1638.0,2.48,2.08
1640.0,2.49,2.1
1642.0,2.59,2.1
1644.0,2.6,2.1
1646.0,2.58,2.11
1648.0,2.56,2.12
1650.0,2.5,2.14
1652.0,2.43,2.16
1655.0,2.35,2.2
1657.0,2.29,2.42
1659.0,2.25,2.93
1661.0,2.31,3.22
1663.0,2.42,3.3
1665.0,2.46,3.3
1667.0,2.42,3.3
1669.0,2.33,3.3
1671.0,2.22,3.3
1672.0,2.15,3.3
1674.0,1.99,3.3
1676.0,1.92,3.3
1678.0,1.83,3.3
1680.0,1.86,3.3
1682.0,2.0,3.3
1684.0,2.14,3.3
1686.0,2.17,3.3
1688.0,2.16,3.3
1690.0,2.07,3.3
1692.0,1.95,3.3
1694.0,1.82,3.3
1696.0,1.67,3.3
1699.0,1.63,3.3
1701.0,1.73,3.3
1703.0,1.83,3.3
1705.0,1.85,3.3
1707.0,1.92,3.3
1709.0,1.87,3.3
1711.0,1.75,3.3
1713.0,1.66,3.3
1714.0,1.55,3.3
1716.0,1.43,3.3
1718.0,1.39,3.3
1720.0,1.47,3.3
1722.0,1.64,3.3
1724.0,1.84,3.3
1726.0,1.92,3.3
1728.0,1.89,3.17
1730.0,1.86,3.24
1732.0,1.77,3.25
1734.0,1.68,3.04
1736.0,1.63,2.83
1738.0,1.55,2.58
1741.0,1.57,2.21
1743.0,1.66,2.02
1745.0,1.77,1.84
1747.0,1.76,1.51
1749.0,1.6,1.25
1751.0,1.46,0.81
1753.0,1.49,0.74
1755.0,1.45,0.49
1757.0,1.39,0.27
1758.0,1.32,0.12
1760.0,1.53,0.0
1762.0,1.7,0.0
1764.0,1.81,0.0
1766.0,1.73,0.0
1768.0,1.6,0.0
1770.0,1.39,0.0
1772.0,1.05,0.0
1774.0,0.88,0.0
1776.0,0.83,0.0
1778.0,0.61,0.0
1780.0,0.54,0.0
1783.0,0.39,0.0
1785.0,0.05,0.0
1787.0,0.0,0.0
1789.0,0.0,0.0
1791.0,0.0,0.0
1793.0,0.0,0.0
1795.0,0.0,0.02
1797.0,0.0,0.04
1799.0,0.0,0.16
1800.0,0.0,0.26
1802.0,0.0,0.14
1804.0,0.0,0.09
1806.0,0.0,0.18
1808.0,0.0,0.22
1810.0,0.0,0.3
1812.0,0.0,0.0
1814.0,0.0,0.0
1816.0,0.0,0.0
1818.0,0.0,0.25
1820.0,0.0,0.18
1822.0,0.0,0.36
1824.0,0.0,0.64
1827.0,0.0,0.85
1829.0,0.0,0.96
1831.0,0.0,1.0
1833.0,0.0,0.89
1835.0,0.0,0.73
1837.0,0.0,0.65
1839.0,0.0,0.52
1841.0,0.0,0.37
1843.0,0.0,0.2
1844.0,0.0,0.12
1846.0,0.0,0.0
1848.0,0.0,0.0
1850.0,0.0,0.0
