time,ch1,ch2
1435.0,1.59,1.33
1437.0,1.57,1.48
1439.0,1.51,1.49
1441.0,1.43,1.56
1443.0,1.33,1.64
1445.0,1.31,1.75
1447.0,1.3,1.66
1449.0,1.4,1.63
1452.0,1.42,1.36
1454.0,1.45,1.28
1456.0,1.52,1.36
1458.0,1.52,1.41
1460.0,1.48,1.45
1462.0,1.43,1.53
1464.0,1.32,1.45
1465.0,1.38,1.63
1467.0,1.4,1.57
1469.0,1.43,1.45
1471.0,1.53,1.24
1473.0,1.56,1.13
1475.0,1.64,1.2
1477.0,1.59,1.29
1479.0,1.52,1.42
1481.0,1.45,1.49
1483.0,1.34,1.52
1485.0,1.37,1.61
1487.0,1.41,1.6
1489.0,1.49,1.46
1491.0,1.62,1.47
1494.0,1.62,1.62
1496.0,1.64,1.75
1498.0,1.61,1.67
1500.0,1.61,1.63
1502.0,1.51,1.63
1504.0,1.38,1.67
1506.0,1.37,1.65
1508.0,1.39,1.5
1509.0,1.48,1.37
1511.0,1.58,1.18
1513.0,1.63,1.12
1515.0,1.67,1.26
1517.0,1.65,1.39
1519.0,1.62,1.41
1521.0,1.47,1.38
1523.0,1.32,1.39
1525.0,1.32,1.45
1527.0,1.3,1.25
1529.0,1.4,1.1
1531.0,1.5,0.96
1533.0,1.56,1.0
1536.0,1.63,1.15
1538.0,1.64,1.24
1540.0,1.57,1.27
1542.0,1.54,1.32
1544.0,1.46,1.32
1546.0,1.47,1.43
1548.0,1.45,1.35
1550.0,1.5,1.45
1552.0,1.62,1.35
1553.0,1.64,1.09
1555.0,1.66,1.09
1557.0,1.62,1.3
1559.0,1.52,1.37
1561.0,1.41,1.42
1563.0,1.31,1.46
1565.0,1.35,1.61
1567.0,1.38,1.56
1569.0,1.47,1.45
1571.0,1.55,1.25
1573.0,1.54,1.22
1575.0,1.55,1.34
1577.0,1.55,1.47
1580.0,1.5,1.53
1582.0,1.44,1.61
1584.0,1.29,1.59
1586.0,1.3,1.62
1588.0,1.26,1.46
1590.0,1.35,1.44
1592.0,1.41,1.21
1594.0,1.44,1.22
1595.0,1.53,1.36
1597.0,1.53,1.45
1599.0,1.47,1.5
1601.0,1.35,1.47
1603.0,1.24,1.55
1605.0,1.27,1.74
1607.0,1.3,1.67
1609.0,1.37,1.6
1611.0,1.41,1.57
1613.0,1.45,1.72
1615.0,1.52,2.03
1617.0,1.55,2.23
1619.0,1.48,2.14
1622.0,1.39,2.1
1624.0,1.3,2.06
1626.0,1.35,2.04
1628.0,1.36,1.83
1630.0,1.44,1.63
1632.0,1.53,1.32
1634.0,1.53,1.19
1636.0,1.52,1.32
1638.0,1.46,1.42
1639.0,1.41,1.5
1641.0,1.37,1.6
1643.0,1.25,1.61
1645.0,1.23,1.71
1647.0,1.23,1.56
1649.0,1.3,1.53
1651.0,1.39,1.31
1653.0,1.4,1.26
1655.0,1.49,1.37
1657.0,1.48,1.49
1659.0,1.4,1.68
1661.0,1.3,2.0
1664.0,1.24,2.15
1666.0,1.26,2.16
1668.0,1.3,1.85
1670.0,1.38,1.62
1672.0,1.46,1.6
1674.0,1.47,1.7
1676.0,1.53,1.95
1678.0,1.5,2.06
1680.0,1.47,2.2
1681.0,1.37,2.23
1683.0,1.26,2.24
1685.0,1.26,2.25
1687.0,1.33,2.12
1689.0,1.42,1.9
1691.0,1.53,1.67
1693.0,1.56,1.65
1695.0,1.59,1.76
1697.0,1.57,1.92
1699.0,1.54,1.95
1701.0,1.45,1.92
1703.0,1.36,1.88
1705.0,1.36,1.95
1708.0,1.4,1.86
1710.0,1.48,1.77
1712.0,1.54,1.56
1714.0,1.56,1.61
1716.0,1.57,1.69
1718.0,1.54,1.7
1720.0,1.48,1.73
1722.0,1.38,1.81
1724.0,1.31,1.85
1725.0,1.3,1.86
1727.0,1.33,1.69
1729.0,1.37,1.52
1731.0,1.49,1.37
1733.0,1.51,1.31
1735.0,1.52,1.57
1737.0,1.48,1.7
1739.0,1.49,1.78
1741.0,1.44,1.74
1743.0,1.37,1.75
1745.0,1.36,1.78
1747.0,1.38,1.56
1750.0,1.46,1.35
1752.0,1.58,1.15
1754.0,1.57,1.13
1756.0,1.6,1.19
1758.0,1.53,1.17
1760.0,1.46,1.15
1762.0,1.4,1.24
1764.0,1.36,1.32
1766.0,1.41,1.47
1767.0,1.5,1.45
1769.0,1.48,1.22
1771.0,1.5,1.0
1773.0,1.57,1.0
1775.0,1.62,1.2
1777.0,1.54,1.37
1779.0,1.46,1.28
1781.0,1.41,1.23
1783.0,1.39,1.3
1785.0,1.34,1.21
1787.0,1.34,1.03
1789.0,1.4,0.86
1792.0,1.49,0.65
1794.0,1.5,0.6
1796.0,1.52,0.71
1798.0,1.48,0.85
1800.0,1.49,0.94
1802.0,1.47,1.01
1804.0,1.35,1.0
1806.0,1.33,1.06
1808.0,1.41,1.0
1810.0,1.47,0.9
1811.0,1.55,0.72
1813.0,1.57,0.75
1815.0,1.54,0.9
1817.0,1.47,1.01
1819.0,1.41,1.15
1821.0,1.37,1.29
1823.0,1.37,1.42
1825.0,1.4,1.51
1827.0,1.46,1.45
1829.0,1.5,1.4
1831.0,1.52,1.25
1833.0,1.54,1.21
1836.0,1.57,1.32
1838.0,1.53,1.37
1840.0,1.45,1.43
1842.0,1.42,1.6
1844.0,1.36,1.65
1846.0,1.35,1.72
1848.0,1.39,1.62
1850.0,1.44,1.44
1852.0,1.52,1.25
1854.0,1.53,1.18
1855.0,1.56,1.3
1857.0,1.56,1.44
1859.0,1.54,1.49
1861.0,1.44,1.49
1863.0,1.35,1.47
1865.0,1.29,1.49
1867.0,1.32,1.44
1869.0,1.37,1.33
1871.0,1.48,1.19
1873.0,1.56,1.24
1875.0,1.55,1.3
1878.0,1.54,1.45
1880.0,1.49,1.55
1882.0,1.35,1.55
1884.0,1.29,1.65
1886.0,1.35,2.11
1888.0,1.32,1.93
1890.0,1.35,1.65
1892.0,1.44,1.42
1894.0,1.51,1.39
1896.0,1.51,1.44
1897.0,1.53,1.54
1899.0,1.47,1.65
1901.0,1.32,1.67
1903.0,1.25,1.57
1905.0,1.33,1.63
1907.0,1.45,1.51
1909.0,1.4,1.18
1911.0,1.42,0.92
1913.0,1.45,0.95
1915.0,1.45,0.95
1917.0,1.5,1.12
1920.0,1.42,1.19
1922.0,1.35,1.31
1924.0,1.3,1.58
1926.0,1.33,1.84
1928.0,1.39,1.78
1930.0,1.46,1.67
1932.0,1.54,1.55
1934.0,1.55,1.58
1936.0,1.59,1.71
1938.0,1.53,1.85
1940.0,1.5,1.95
1941.0,1.4,1.93
1943.0,1.34,1.9
1945.0,1.33,1.88
1947.0,1.42,1.75
1949.0,1.48,1.57
1951.0,1.48,1.36
1953.0,1.55,1.39
1955.0,1.59,1.52
1957.0,1.58,1.62
1959.0,1.53,1.69
1961.0,1.38,1.81
1964.0,1.31,1.95
1966.0,1.27,2.08
1968.0,1.34,2.09
1970.0,1.42,1.81
1972.0,1.49,1.58
1974.0,1.54,1.53
1976.0,1.56,1.55
1978.0,1.57,1.51
1980.0,1.48,1.44
1982.0,1.36,1.43
1983.0,1.34,1.38
1985.0,1.27,1.23
1987.0,1.29,1.03
1989.0,1.39,0.86
1991.0,1.48,0.68
1993.0,1.54,0.78
1995.0,1.53,0.9
1997.0,1.47,0.97
1999.0,1.47,1.02
2001.0,1.37,0.93
2003.0,1.35,0.95
2006.0,1.34,0.94
2008.0,1.41,0.86
2010.0,1.53,0.78
2012.0,1.58,0.62
2014.0,1.61,0.71
2016.0,1.6,0.87
2018.0,1.56,0.95
2020.0,1.47,1.01
2022.0,1.41,1.06
2024.0,1.35,1.08
2026.0,1.33,1.08
2027.0,1.38,0.98
2029.0,1.5,0.82
2031.0,1.52,0.6
2033.0,1.5,0.8
2035.0,1.48,1.12
2037.0,1.45,1.27
2039.0,1.45,1.43
2041.0,1.36,1.53
2043.0,1.32,1.62
2045.0,1.32,1.66
2048.0,1.35,1.53
2050.0,1.42,1.49
2052.0,1.47,1.33
2054.0,1.49,1.32
2056.0,1.55,1.43
2058.0,1.54,1.49
2060.0,1.46,1.31
2062.0,1.38,1.22
2064.0,1.36,1.31
2066.0,1.31,1.26
2068.0,1.4,1.22
2070.0,1.48,1.14
2071.0,1.5,0.97
2073.0,1.55,1.01
2075.0,1.64,1.17
